cohort,outcome,n_trials,n_participants,effect,ci_low,ci_high,p_value,status,estimability_reason
3DGait,endpoint_z_speed_m_s,90,43,-0.7849975977593946,-0.9343120729323248,-0.6356831225864644,6.744675382626881e-25,ok,
3DGait,framewise_z_speed_m_s,90,43,-0.7242078064040429,-0.9047691202248037,-0.5436464925832821,3.805949553495077e-15,ok,
3DGait,slope_z_speed_m_s,90,43,-0.7702988933840882,-0.9219155792226039,-0.6186822075455725,2.333282772517242e-23,ok,
BMCLab,endpoint_z_speed_m_s,781,23,-0.6877709433918231,-0.9999411031664269,-0.3756007836172192,1.5732261784036727e-05,ok,
BMCLab,framewise_z_speed_m_s,781,23,-0.6870632792190235,-0.9980232066653237,-0.37610335177272336,1.4875524935753066e-05,ok,
BMCLab,slope_z_speed_m_s,781,23,-0.6852545871965853,-0.9972147753134459,-0.37329439907972456,1.667786374121681e-05,ok,
BMCLab,endpoint_z_speed_m_s_off,371,20,-0.7613993302842768,-1.0760212365391666,-0.4467774240293869,2.103662800287195e-06,ok,
BMCLab,endpoint_z_speed_m_s_on,410,22,-0.6140708666065487,-1.0163605451058648,-0.21178118810723262,0.0027736832709602706,ok,
PD-GaM,endpoint_z_speed_m_s,1701,30,-0.7479123471167485,-0.8801345961485779,-0.615690098084919,1.458931523878157e-28,ok,
PD-GaM,framewise_z_speed_m_s,1701,30,-0.7593655375617967,-0.8901384961570861,-0.6285925789665073,5.199060714998598e-30,ok,
PD-GaM,slope_z_speed_m_s,1701,30,-0.7623127291414311,-0.9019332846811864,-0.6226921736016758,1.0048408211778862e-26,ok,
T-SDU-PD,endpoint_z_speed_m_s,381,14,-0.46053099254507107,-0.6882551484497688,-0.2328068366403734,7.380523698108776e-05,ok,
T-SDU-PD,framewise_z_speed_m_s,381,14,-0.45457339435457517,-0.6665546619019256,-0.24259212680722478,2.6345433505875277e-05,ok,
T-SDU-PD,slope_z_speed_m_s,381,14,-0.47651507191823456,-0.697075479643734,-0.25595466419273516,2.2911008573347596e-05,ok,
3DGait,cadence,0,0,,,,,NOT_ESTIMABLE,canonical_foot_ankle_events_unavailable_or_qc_insufficient
3DGait,stride_time_mean,0,0,,,,,NOT_ESTIMABLE,canonical_foot_ankle_events_unavailable_or_qc_insufficient
3DGait,stride_time_cv,0,0,,,,,NOT_ESTIMABLE,canonical_foot_ankle_events_unavailable_or_qc_insufficient
3DGait,temporal_asymmetry,0,0,,,,,NOT_ESTIMABLE,canonical_foot_ankle_events_unavailable_or_qc_insufficient
BMCLab,cadence,0,0,,,,,NOT_ESTIMABLE,canonical_foot_ankle_events_unavailable_or_qc_insufficient
BMCLab,stride_time_mean,0,0,,,,,NOT_ESTIMABLE,canonical_foot_ankle_events_unavailable_or_qc_insufficient
BMCLab,stride_time_cv,0,0,,,,,NOT_ESTIMABLE,canonical_foot_ankle_events_unavailable_or_qc_insufficient
BMCLab,temporal_asymmetry,0,0,,,,,NOT_ESTIMABLE,canonical_foot_ankle_events_unavailable_or_qc_insufficient
PD-GaM,cadence,0,0,,,,,NOT_ESTIMABLE,canonical_foot_ankle_events_unavailable_or_qc_insufficient
PD-GaM,stride_time_mean,0,0,,,,,NOT_ESTIMABLE,canonical_foot_ankle_events_unavailable_or_qc_insufficient
PD-GaM,stride_time_cv,0,0,,,,,NOT_ESTIMABLE,canonical_foot_ankle_events_unavailable_or_qc_insufficient
PD-GaM,temporal_asymmetry,0,0,,,,,NOT_ESTIMABLE,canonical_foot_ankle_events_unavailable_or_qc_insufficient
T-SDU-PD,cadence,0,0,,,,,NOT_ESTIMABLE,canonical_foot_ankle_events_unavailable_or_qc_insufficient
T-SDU-PD,stride_time_mean,0,0,,,,,NOT_ESTIMABLE,canonical_foot_ankle_events_unavailable_or_qc_insufficient
T-SDU-PD,stride_time_cv,0,0,,,,,NOT_ESTIMABLE,canonical_foot_ankle_events_unavailable_or_qc_insufficient
T-SDU-PD,temporal_asymmetry,0,0,,,,,NOT_ESTIMABLE,canonical_foot_ankle_events_unavailable_or_qc_insufficient
