feature,analysis,level,n_rows,n_participants,effect,ci_low,ci_high,p_value,status,same_direction
gait_speed,task_specific,HP,62,62,-0.3800186811360082,-0.5818322939778786,-0.17820506829413768,0.00022368383761630807,OK,
gait_speed,task_specific,SP,62,62,-0.37962498304676817,-0.5899911960977127,-0.16925876999582362,0.0004048016629466965,OK,
gait_speed,leave_one_site_out,Johns_Hopkins_Outpatient,30,15,-0.47974579420493724,-0.6012734816086148,-0.35821810680125965,1.0162712869521972e-14,OK,True
gait_speed,leave_one_site_out,VA_Seattle,94,47,-0.18907999528114092,-0.35564630724117446,-0.02251368332110737,0.02608932530513117,OK,True
cadence,task_specific,HP,62,62,-0.0728385151252364,-0.36676074832335104,0.22108371807287822,0.6271730375729044,OK,
cadence,task_specific,SP,62,62,-0.1859178094124872,-0.46513678882132126,0.09330116999634686,0.19187889395144986,OK,
cadence,leave_one_site_out,Johns_Hopkins_Outpatient,30,15,-0.6388186428681152,-0.8665065933144135,-0.4111306924218169,3.818988861323344e-08,OK,True
cadence,leave_one_site_out,VA_Seattle,94,47,0.09426141159373107,-0.1246182342990146,0.31314105748647675,0.398632258475462,OK,False
step_length_mean,task_specific,HP,62,62,-0.42949813934456066,-0.5842432199927015,-0.27475305869641986,5.3304452795849946e-08,OK,
step_length_mean,task_specific,SP,62,62,-0.3610279582318294,-0.5486955627082097,-0.17336035375544911,0.00016291700062151282,OK,
step_length_mean,leave_one_site_out,Johns_Hopkins_Outpatient,30,15,-0.31786342581026206,-0.4436910814791407,-0.19203577014138343,7.374828346089595e-07,OK,True
step_length_mean,leave_one_site_out,VA_Seattle,94,47,-0.3220947139380213,-0.5003039979200465,-0.14388542995599612,0.0003964575749162475,OK,True
stride_length_mean,task_specific,HP,62,62,-0.4350253840798873,-0.5870938556171952,-0.28295691254257943,2.0597185684002946e-08,OK,
stride_length_mean,task_specific,SP,62,62,-0.3756670583333031,-0.5660058052619019,-0.18532831140470432,0.00010958136059636929,OK,
stride_length_mean,leave_one_site_out,Johns_Hopkins_Outpatient,30,15,-0.3087779596393862,-0.4325372974340655,-0.1850186218447069,1.0079244946944192e-06,OK,True
stride_length_mean,leave_one_site_out,VA_Seattle,94,47,-0.3345132022598075,-0.5128991504788273,-0.15612725404078776,0.000237507739356662,OK,True
step_time_mean,task_specific,HP,62,62,0.13975759321020426,-0.1493613815210621,0.4288765679414706,0.3434199585165383,OK,
step_time_mean,task_specific,SP,62,62,0.2535248596423715,-0.042410529437779176,0.5494602487225222,0.09313618944039952,OK,
step_time_mean,leave_one_site_out,Johns_Hopkins_Outpatient,30,15,0.6673699278408506,0.4021295832906306,0.9326102723910705,8.161905728750306e-07,OK,True
step_time_mean,leave_one_site_out,VA_Seattle,94,47,-0.0543815604107846,-0.26432503507063015,0.15556191424906096,0.611671774204961,OK,False
stride_time_mean,task_specific,HP,62,62,0.14169611287166706,-0.15115490406979265,0.43454712981312676,0.3429617035068251,OK,
stride_time_mean,task_specific,SP,62,62,0.24000325050288568,-0.054171386592905046,0.5341778875986765,0.10981117464717532,OK,
stride_time_mean,leave_one_site_out,Johns_Hopkins_Outpatient,30,15,0.6700147396611073,0.4052570409768153,0.9347724383453992,7.048417049364832e-07,OK,True
stride_time_mean,leave_one_site_out,VA_Seattle,94,47,-0.06010169992326569,-0.27021156478713637,0.15000816494060498,0.5750391719584101,OK,False
step_time_cv,task_specific,HP,62,62,0.38106919905445175,0.040501052791847014,0.7216373453170565,0.028304002652125893,OK,
step_time_cv,task_specific,SP,62,62,0.5176760143620935,0.15471345735547043,0.8806385713687166,0.005183517678147096,OK,
step_time_cv,leave_one_site_out,Johns_Hopkins_Outpatient,30,15,0.44178536253531564,0.016987513233460205,0.866583211837171,0.04151571840398868,OK,True
step_time_cv,leave_one_site_out,VA_Seattle,94,47,0.3726326418483812,0.08480919802467912,0.6604560856720832,0.011165338720741418,OK,True
stride_time_cv,task_specific,HP,62,62,0.33795610708023943,-0.06913471224003476,0.7450469264005136,0.10371360443816159,OK,
stride_time_cv,task_specific,SP,62,62,0.3821196716253426,0.043841900794606925,0.7203974424560783,0.026830037819247487,OK,
stride_time_cv,leave_one_site_out,Johns_Hopkins_Outpatient,30,15,0.4927401895018341,0.08064686251197206,0.9048335164916962,0.019102232092207756,OK,True
stride_time_cv,leave_one_site_out,VA_Seattle,94,47,0.18335846898476274,-0.03208879307352533,0.39880573104305084,0.09530654785021266,OK,True
stance_fraction,task_specific,HP,62,62,0.30864250087853007,0.10109664677466376,0.5161883549823963,0.0035606201495077114,OK,
stance_fraction,task_specific,SP,62,62,0.28062972742663256,0.03167924837158795,0.5295802064816771,0.027148793416650788,OK,
stance_fraction,leave_one_site_out,Johns_Hopkins_Outpatient,30,15,0.34929182200300984,0.030017272255076777,0.6685663717509429,0.032014130469508496,OK,True
stance_fraction,leave_one_site_out,VA_Seattle,94,47,0.18669089586318596,0.004452349369489628,0.3689294423568823,0.044659369919676103,OK,True
swing_fraction,task_specific,HP,62,62,-0.30864250087853023,-0.5161883549823968,-0.1010966467746637,0.0035606201495077283,OK,
swing_fraction,task_specific,SP,62,62,-0.28062972742663306,-0.5295802064816777,-0.03167924837158845,0.02714879341665054,OK,
swing_fraction,leave_one_site_out,Johns_Hopkins_Outpatient,30,15,-0.3492918220030103,-0.6685663717509431,-0.030017272255077443,0.03201413046950819,OK,True
swing_fraction,leave_one_site_out,VA_Seattle,94,47,-0.18669089586318569,-0.3689294423568818,-0.004452349369489572,0.044659369919676145,OK,True
double_support_fraction,task_specific,HP,62,62,0.3076668623405831,0.1023249852638532,0.5130087394173131,0.003317848552119448,OK,
double_support_fraction,task_specific,SP,62,62,0.31225499170642246,0.02896214054741958,0.5955478428654253,0.030746451501981097,OK,
double_support_fraction,leave_one_site_out,Johns_Hopkins_Outpatient,30,15,0.37041928708040395,0.05765899228889393,0.683179581871914,0.020271004930928604,OK,True
double_support_fraction,leave_one_site_out,VA_Seattle,94,47,0.18889477115381245,0.00448969585975767,0.37329984644786723,0.04467698044899369,OK,True
