feature,n_rows,n_participants,effect,ci_low,ci_high,p_value,status,q_value,speed_adjusted_effect,speed_adjusted_ci_low,speed_adjusted_ci_high,speed_adjusted_p_value,speed_adjusted_status,task_interaction_effect,task_interaction_ci_low,task_interaction_ci_high,task_interaction_p_value,task_interaction_status,task_interaction_interaction_p_value,site_interaction_effect,site_interaction_ci_low,site_interaction_ci_high,site_interaction_p_value,site_interaction_status,site_interaction_interaction_p_value,speed_adjusted_q_value,rank_spearman_rho,severity_categorical_p_value,bootstrap_status,bootstrap_n,bootstrap_same_sign_fraction,bootstrap_median,bootstrap_ci_low,bootstrap_ci_high,permutation_status,permutation_n,permutation_p_value
gait_speed,124,62,-0.3075832834923942,-0.46382668360651147,-0.151339883378277,0.00011412391028454245,OK,0.000418454337709989,-0.3075832834923942,-0.46382668360651147,-0.151339883378277,0.00011412391028454245,OK,-0.38688510695862605,-0.581987329183701,-0.19178288473355112,0.00010166539978139436,OK,0.02521622712877433,-0.18832382939139305,-0.35781496575827454,-0.01883269302451157,0.029425269149148756,OK,0.00030713611180284054,0.001255363013129967,-0.35101198884800283,1.291692706408575e-24,OK,2000,0.998,-0.3014218629049321,-0.4519006945175018,-0.09874520374508697,OK,5000,0.0005998800239952009
cadence,124,62,-0.09714541571633789,-0.32372955461394504,0.12943872318126923,0.40073311584455895,OK,0.40073311584455895,0.12821089516378106,-0.05595818709330985,0.312379977420872,0.17242729103835497,OK,-0.06892587969815962,-0.34791848197950176,0.21006672258318254,0.628233702307233,OK,0.4647408752266008,0.10752891101227054,-0.1288748916501476,0.34393271367468864,0.3726637071715062,OK,2.0686404911306424e-05,0.31611670023698407,-0.14493986025918018,2.683892091474231e-15,OK,2000,0.7485,-0.08839197450905395,-0.3057315071184781,0.1869231636070071,OK,5000,0.33633273345330933
step_length_mean,124,62,-0.36727753780735733,-0.5113298931433656,-0.22322518247134898,5.818481723792758e-07,OK,3.200164948086017e-06,-0.12772171062739462,-0.2430027699594432,-0.01244065129534605,0.029895275400955726,OK,-0.45732794468668875,-0.6144692043006783,-0.3001866850726992,1.1697320090918617e-08,OK,0.006672168701587931,-0.3285749389917282,-0.5114446805196103,-0.145705197463846,0.0004289423123018099,OK,0.3831726105881226,0.08215159312527356,-0.4161758400590586,1.6507967560633182e-19,OK,2000,1.0,-0.3637017480708533,-0.5172593514424709,-0.20511967719222585,OK,5000,0.0001999600079984003
stride_length_mean,124,62,-0.37534736957387915,-0.5194531974473531,-0.23124154170040517,3.3070864629555334e-07,OK,3.200164948086017e-06,-0.14257062716293695,-0.2569773377986398,-0.028163916527234115,0.01458772974295945,OK,-0.4623914648658893,-0.6166749687377906,-0.30810796099398796,4.252483603815875e-09,OK,0.007975209222367028,-0.34049242601524476,-0.5230461230521524,-0.15793872897833722,0.0002565285843785674,OK,0.43897332932384103,0.05348834239085132,-0.42727772230669964,3.600310296625837e-20,OK,2000,1.0,-0.3716159643762198,-0.5286312570039806,-0.1992908984361012,OK,5000,0.0003999200159968006
step_time_mean,124,62,0.16385378064256872,-0.07271273941341111,0.40042030069854856,0.17461104141152084,OK,0.20953369186355258,-0.011474483650018326,-0.19918116667313937,0.17623219937310272,0.9046318158740905,OK,0.1150105262535179,-0.11652175105432416,0.34654280356135997,0.3302623429904692,OK,0.09112367211338904,-0.06035355862307615,-0.2753410036221513,0.15463388637599898,0.5821671819051626,OK,5.112182439797819e-06,0.9062114784711405,0.1488217160963319,1.6503121798453464e-24,OK,2000,0.856,0.15606208424982249,-0.13170212129227749,0.37742237245124616,OK,5000,0.10817836432713457
stride_time_mean,124,62,0.15815496152865238,-0.07862399246911919,0.394933915526424,0.19048517442141144,OK,0.20953369186355258,-0.011450503059688467,-0.20193481116936782,0.17903380504999086,0.9062114784711405,OK,0.11556769551098679,-0.12133045220758128,0.3524658432295549,0.33899996014980294,OK,0.12304853646860929,-0.06646367334116556,-0.2825408382327648,0.14961349155043374,0.5465952806224481,OK,5.152211818976452e-06,0.9062114784711405,0.14799314421786047,1.8279202632905236e-23,OK,2000,0.852,0.14469349269529042,-0.13197071249868614,0.3742963908943737,OK,5000,0.11637672465506899
step_time_cv,124,62,0.452657324191998,0.1299516574422378,0.7753629909417582,0.005973548071792726,OK,0.013478624704972198,0.3644271530405182,0.09398618667198477,0.6348681194090516,0.008263510649786737,OK,0.30079320976589174,0.06273994922684373,0.5388464703049398,0.013266988390800974,OK,0.07231137009196618,0.352662437266078,0.09079924580173504,0.6145256287304209,0.008301179110948034,OK,0.4063637283842386,0.04544930857382705,0.377927177947727,2.5102729477040203e-161,OK,2000,0.9995,0.4436660661313163,0.08392942097156787,0.7401424611052081,OK,5000,0.0001999600079984003
stride_time_cv,124,62,0.34746904747916,0.023763451303073613,0.6711746436552464,0.035391857070788776,OK,0.048663803472334566,0.2867520760764503,0.01680910321516238,0.5566950489377382,0.03734163323876071,OK,0.21823918696030947,-0.03276355966324429,0.46924193358386324,0.08835707405439473,OK,0.0558253512105665,0.18521960336058238,-0.020145119477151113,0.39058432619831585,0.07711063730374579,OK,0.14253130011612872,0.08215159312527356,0.3105714291030949,1.9419443710725505e-205,OK,2000,0.979,0.3267056676414439,0.008028563461042701,0.628732177533957,OK,5000,0.0011997600479904018
stance_fraction,124,62,0.2766238423535743,0.07289903468256587,0.4803486500245827,0.0077839639730425715,OK,0.013478624704972198,0.058877947194313704,-0.08483831687134318,0.20259421125997057,0.4219968708882549,OK,0.3110207972227326,0.10814003704753317,0.5139015573979321,0.002658698798858338,OK,0.32328767806954944,0.20346514048725195,0.009743399212586129,0.39718688176191774,0.03953813052240386,OK,0.288433629861751,0.5157739533078671,0.3019509329439882,2.349570252614046e-20,OK,2000,0.9895,0.2687461345747947,0.034943535898243464,0.4711706828412038,OK,5000,0.016996600679864027
swing_fraction,124,62,-0.2766238423535745,-0.48034865002458305,-0.07289903468256598,0.007783963973042564,OK,0.013478624704972198,-0.05887794719431392,-0.20259421125997093,0.0848383168713431,0.42199687088825355,OK,-0.31102079722273285,-0.5139015573979328,-0.10814003704753297,0.0026586987988583746,OK,0.32328767806955205,-0.20346514048725192,-0.39718688176191785,-0.009743399212585963,0.039538130522404,OK,0.28843362986174864,0.5157739533078671,-0.3019509329439882,2.3495702526144044e-20,OK,2000,0.989,-0.2672001058927854,-0.4650882781766528,-0.0368325024885484,OK,5000,0.01259748050389922
