feature,task,n_participants,icc_model,icc_2_1,icc_ci_low,icc_ci_high,sem,mdc95,status
cadence,HP,13,"ICC(A,1)",0.3563690725719001,-0.010397546974248485,0.7312181607725136,8.234227422717131,22.824113949867208,OK
cadence,SP,41,"ICC(A,1)",0.7152387121667311,0.4925005132311759,0.8494885055465923,5.744095037131119,15.921819125938798,OK
step_time_mean,HP,13,"ICC(A,1)",0.4108475024733674,-0.02059100450052406,0.7439921020587733,0.036390006020952236,0.1008679504973517,OK
step_time_mean,SP,41,"ICC(A,1)",0.7106044453293736,0.5286579441828984,0.8524668601840879,0.03477832019366209,0.09640058530508477,OK
step_time_cv,HP,13,"ICC(A,1)",-0.252219380612288,-0.5715642323913147,0.34371714222774014,2.225678184568621,6.169265177225951,OK
step_time_cv,SP,41,"ICC(A,1)",0.14128976341893382,0.06788330265987884,0.5725676778464031,3.381456248672571,9.372918523390238,OK
stride_time_mean,HP,13,"ICC(A,1)",0.34759463230953686,-0.05953795064421261,0.728021011670298,0.07625103450795133,0.21135708440640233,OK
stride_time_mean,SP,41,"ICC(A,1)",0.678633024627343,0.477653497188169,0.8403349484591615,0.0746912467027484,0.20703357319205976,OK
stride_time_cv,HP,13,"ICC(A,1)",0.0608713055602959,-0.1559020448006917,0.3927592546223268,1.496801073481548,4.148920901452738,OK
stride_time_cv,SP,41,"ICC(A,1)",0.18117929422572784,-0.10801537926904523,0.4533042251320462,1.496226206366504,4.147327451106248,OK
