cohort,outcome,n_trials,n_participants,effect,ci_low,ci_high,p_value,status,estimability_reason
3DGait,endpoint_z_speed_m_s,90,43,-0.7180819669276189,-0.8426039170540567,-0.5935600168011812,1.27471191128006e-29,ok,
3DGait,framewise_z_speed_m_s,90,43,-0.6878249321275495,-0.8569871416459738,-0.5186627226091252,1.5951690570931557e-15,ok,
3DGait,slope_z_speed_m_s,90,43,-0.7071064075344645,-0.8343767860843517,-0.5798360289845773,1.2943435534818911e-27,ok,
BMCLab,endpoint_z_speed_m_s,781,23,0.05682526305840137,-0.11965718079905523,0.23330770691585795,0.5279847782356595,ok,
BMCLab,framewise_z_speed_m_s,781,23,0.2993619079558748,0.0075546897399103585,0.5911691261718393,0.04435650780130536,ok,
BMCLab,slope_z_speed_m_s,781,23,0.0478722744379516,-0.12411878381168985,0.21986333268759306,0.585382450095435,ok,
BMCLab,endpoint_z_speed_m_s_off,371,20,0.02109718906026724,-0.2134477151799925,0.255642093300527,0.860060056915449,ok,
BMCLab,endpoint_z_speed_m_s_on,410,22,0.07975346170360995,-0.16955857336287106,0.32906549677009095,0.530671680482235,ok,
DNE,endpoint_z_speed_m_s,0,0,,,,,insufficient_data,
DNE,framewise_z_speed_m_s,0,0,,,,,insufficient_data,
DNE,slope_z_speed_m_s,0,0,,,,,insufficient_data,
E-LC,endpoint_z_speed_m_s,0,0,,,,,insufficient_data,
E-LC,framewise_z_speed_m_s,0,0,,,,,insufficient_data,
E-LC,slope_z_speed_m_s,0,0,,,,,insufficient_data,
KUL-DT-T,endpoint_z_speed_m_s,0,0,,,,,insufficient_data,
KUL-DT-T,framewise_z_speed_m_s,0,0,,,,,insufficient_data,
KUL-DT-T,slope_z_speed_m_s,0,0,,,,,insufficient_data,
PD-GaM,endpoint_z_speed_m_s,1701,30,-0.28943458685307444,-0.3863117254554457,-0.19255744825070317,4.750667985369993e-09,ok,
PD-GaM,framewise_z_speed_m_s,1701,30,-0.34725314193192575,-0.46263964887660575,-0.23186663498724575,3.6689146822959193e-09,ok,
PD-GaM,slope_z_speed_m_s,1701,30,-0.29660312617692564,-0.39274311760145925,-0.20046313475239202,1.4782589678721566e-09,ok,
T-LTC,endpoint_z_speed_m_s,0,0,,,,,insufficient_data,
T-LTC,framewise_z_speed_m_s,0,0,,,,,insufficient_data,
T-LTC,slope_z_speed_m_s,0,0,,,,,insufficient_data,
T-SDU,endpoint_z_speed_m_s,0,0,,,,,insufficient_data,
T-SDU,framewise_z_speed_m_s,0,0,,,,,insufficient_data,
T-SDU,slope_z_speed_m_s,0,0,,,,,insufficient_data,
T-SDU-PD,endpoint_z_speed_m_s,381,14,-0.4602498603130626,-0.68797911367464,-0.23252060695148513,7.458496582255816e-05,ok,
T-SDU-PD,framewise_z_speed_m_s,381,14,-0.4483213497183823,-0.6593715399689133,-0.2372711594678513,3.134956239768906e-05,ok,
T-SDU-PD,slope_z_speed_m_s,381,14,-0.47628279480931834,-0.6974244857033284,-0.2551411039153083,2.429378426203529e-05,ok,
3DGait,gait_speed,0,0,,,,,NOT_ESTIMABLE,OFFICIAL_H36M_ASSETS_NOT_PRESENT_IN_ACQUIRED_RELEASE
3DGait,cadence,0,0,,,,,NOT_ESTIMABLE,OFFICIAL_H36M_ASSETS_NOT_PRESENT_IN_ACQUIRED_RELEASE
3DGait,step_length_mean,0,0,,,,,NOT_ESTIMABLE,OFFICIAL_H36M_ASSETS_NOT_PRESENT_IN_ACQUIRED_RELEASE
3DGait,step_time_mean,0,0,,,,,NOT_ESTIMABLE,OFFICIAL_H36M_ASSETS_NOT_PRESENT_IN_ACQUIRED_RELEASE
BMCLab,gait_speed,0,0,,,,,NOT_ESTIMABLE,OFFICIAL_H36M_ASSETS_NOT_PRESENT_IN_ACQUIRED_RELEASE
BMCLab,cadence,0,0,,,,,NOT_ESTIMABLE,OFFICIAL_H36M_ASSETS_NOT_PRESENT_IN_ACQUIRED_RELEASE
BMCLab,step_length_mean,0,0,,,,,NOT_ESTIMABLE,OFFICIAL_H36M_ASSETS_NOT_PRESENT_IN_ACQUIRED_RELEASE
BMCLab,step_time_mean,0,0,,,,,NOT_ESTIMABLE,OFFICIAL_H36M_ASSETS_NOT_PRESENT_IN_ACQUIRED_RELEASE
DNE,gait_speed,0,0,,,,,NOT_ESTIMABLE,OFFICIAL_H36M_ASSETS_NOT_PRESENT_IN_ACQUIRED_RELEASE
DNE,cadence,0,0,,,,,NOT_ESTIMABLE,OFFICIAL_H36M_ASSETS_NOT_PRESENT_IN_ACQUIRED_RELEASE
DNE,step_length_mean,0,0,,,,,NOT_ESTIMABLE,OFFICIAL_H36M_ASSETS_NOT_PRESENT_IN_ACQUIRED_RELEASE
DNE,step_time_mean,0,0,,,,,NOT_ESTIMABLE,OFFICIAL_H36M_ASSETS_NOT_PRESENT_IN_ACQUIRED_RELEASE
E-LC,gait_speed,0,0,,,,,NOT_ESTIMABLE,OFFICIAL_H36M_ASSETS_NOT_PRESENT_IN_ACQUIRED_RELEASE
E-LC,cadence,0,0,,,,,NOT_ESTIMABLE,OFFICIAL_H36M_ASSETS_NOT_PRESENT_IN_ACQUIRED_RELEASE
E-LC,step_length_mean,0,0,,,,,NOT_ESTIMABLE,OFFICIAL_H36M_ASSETS_NOT_PRESENT_IN_ACQUIRED_RELEASE
E-LC,step_time_mean,0,0,,,,,NOT_ESTIMABLE,OFFICIAL_H36M_ASSETS_NOT_PRESENT_IN_ACQUIRED_RELEASE
KUL-DT-T,gait_speed,0,0,,,,,NOT_ESTIMABLE,OFFICIAL_H36M_ASSETS_NOT_PRESENT_IN_ACQUIRED_RELEASE
KUL-DT-T,cadence,0,0,,,,,NOT_ESTIMABLE,OFFICIAL_H36M_ASSETS_NOT_PRESENT_IN_ACQUIRED_RELEASE
KUL-DT-T,step_length_mean,0,0,,,,,NOT_ESTIMABLE,OFFICIAL_H36M_ASSETS_NOT_PRESENT_IN_ACQUIRED_RELEASE
KUL-DT-T,step_time_mean,0,0,,,,,NOT_ESTIMABLE,OFFICIAL_H36M_ASSETS_NOT_PRESENT_IN_ACQUIRED_RELEASE
PD-GaM,gait_speed,0,0,,,,,NOT_ESTIMABLE,OFFICIAL_H36M_ASSETS_NOT_PRESENT_IN_ACQUIRED_RELEASE
PD-GaM,cadence,0,0,,,,,NOT_ESTIMABLE,OFFICIAL_H36M_ASSETS_NOT_PRESENT_IN_ACQUIRED_RELEASE
PD-GaM,step_length_mean,0,0,,,,,NOT_ESTIMABLE,OFFICIAL_H36M_ASSETS_NOT_PRESENT_IN_ACQUIRED_RELEASE
