feature,n_rows,n_participants,effect,ci_low,ci_high,p_value,status,q_value,raw_effect_per_gait_point,raw_ci_low,raw_ci_high,raw_p_value,raw_effect_status,speed_adjusted_effect,speed_adjusted_ci_low,speed_adjusted_ci_high,speed_adjusted_p_value,speed_adjusted_status,task_interaction_effect,task_interaction_ci_low,task_interaction_ci_high,task_interaction_p_value,task_interaction_status,task_interaction_interaction_p_value,site_interaction_effect,site_interaction_ci_low,site_interaction_ci_high,site_interaction_p_value,site_interaction_status,site_interaction_interaction_p_value,speed_adjusted_q_value,rank_spearman_rho,severity_categorical_p_value,bootstrap_status,permutation_status
context_adjusted_gait_deviation_v1,125,62,0.30093541881157304,0.08855145928250918,0.5133193783406369,0.005483749215395211,OK,0.005483749215395211,1.1960641660549172,0.3519466991221679,2.0401816329876663,0.005483749215395211,OK,0.2788099205839509,0.0827776443219296,0.4748421968459722,0.00531018776294478,OK,0.23670833023292412,0.054889836779874746,0.4185268236859735,0.010720968880223258,OK,1.0,0.19335142769808372,-0.008063225395425727,0.39476608079159314,0.059903824044280234,OK,0.09897202139208873,0.00531018776294478,0.2484255164992024,1.9127567156409673e-83,,
stride_scaling_response_v1,96,96,0.16942112186293423,-0.05341546895122459,0.3922577126770931,0.13618556511373447,OK,0.13618556511373447,0.03756008536821449,-0.011842027438670459,0.08696219817509943,0.13618556511373417,OK,,,,,NOT_ESTIMABLE,,,,,NOT_ESTIMABLE,,0.3456559830449164,0.0625549553977241,0.6287570106921088,0.01670922712904025,OK,0.009148498365116447,,0.08048695054457447,0.31228944761235805,,
cadence_scaling_response_v1,96,96,0.1618370689135063,-0.048398154911362734,0.37207229273837533,0.13135972477647448,OK,0.13618556511373447,4.859722157834858,-1.4533233170873556,11.172767632757072,0.13135972477647384,OK,,,,,NOT_ESTIMABLE,,,,,NOT_ESTIMABLE,,0.0033064209737657018,-0.2961815571623272,0.3027943991098586,0.9827363343768093,OK,0.14849380949531768,,0.17211578009187675,0.4292095118227519,,
step_time_cv_longbout_v1,1,1,,,,,NOT_ESTIMABLE,,,,,,NOT_ESTIMABLE,,,,,NOT_ESTIMABLE,,,,,NOT_ESTIMABLE,,,,,,NOT_ESTIMABLE,,,,,NOT_ESTIMABLE,NOT_ESTIMABLE
stride_time_cv_longbout_v1,1,1,,,,,NOT_ESTIMABLE,,,,,,NOT_ESTIMABLE,,,,,NOT_ESTIMABLE,,,,,NOT_ESTIMABLE,,,,,,NOT_ESTIMABLE,,,,,NOT_ESTIMABLE,NOT_ESTIMABLE
arm_swing_rom_v1,1,1,,,,,NOT_ESTIMABLE,,,,,,NOT_ESTIMABLE,,,,,NOT_ESTIMABLE,,,,,NOT_ESTIMABLE,,,,,,NOT_ESTIMABLE,,,,,NOT_ESTIMABLE,NOT_ESTIMABLE
arm_swing_asymmetry_v1,1,1,,,,,NOT_ESTIMABLE,,,,,,NOT_ESTIMABLE,,,,,NOT_ESTIMABLE,,,,,NOT_ESTIMABLE,,,,,,NOT_ESTIMABLE,,,,,NOT_ESTIMABLE,NOT_ESTIMABLE
arm_swing_coordination_v1,1,1,,,,,NOT_ESTIMABLE,,,,,,NOT_ESTIMABLE,,,,,NOT_ESTIMABLE,,,,,NOT_ESTIMABLE,,,,,,NOT_ESTIMABLE,,,,,NOT_ESTIMABLE,NOT_ESTIMABLE
axial_rotation_smoothness_v1,1,1,,,,,NOT_ESTIMABLE,,,,,,NOT_ESTIMABLE,,,,,NOT_ESTIMABLE,,,,,NOT_ESTIMABLE,,,,,,NOT_ESTIMABLE,,,,,NOT_ESTIMABLE,NOT_ESTIMABLE
harmonic_ratio_ap_v1,1,1,,,,,NOT_ESTIMABLE,,,,,,NOT_ESTIMABLE,,,,,NOT_ESTIMABLE,,,,,NOT_ESTIMABLE,,,,,,NOT_ESTIMABLE,,,,,NOT_ESTIMABLE,NOT_ESTIMABLE
stride_regularity_ap_v1,1,1,,,,,NOT_ESTIMABLE,,,,,,NOT_ESTIMABLE,,,,,NOT_ESTIMABLE,,,,,NOT_ESTIMABLE,,,,,,NOT_ESTIMABLE,,,,,NOT_ESTIMABLE,NOT_ESTIMABLE
