feature,n_rows,n_participants,effect,ci_low,ci_high,p_value,status,q_value,raw_effect_per_gait_point,raw_ci_low,raw_ci_high,raw_p_value,raw_effect_status,speed_adjusted_effect,speed_adjusted_ci_low,speed_adjusted_ci_high,speed_adjusted_p_value,speed_adjusted_status,task_interaction_effect,task_interaction_ci_low,task_interaction_ci_high,task_interaction_p_value,task_interaction_status,task_interaction_interaction_p_value,site_interaction_effect,site_interaction_ci_low,site_interaction_ci_high,site_interaction_p_value,site_interaction_status,site_interaction_interaction_p_value,speed_adjusted_q_value,rank_spearman_rho,severity_categorical_p_value,bootstrap_status,permutation_status,reliability_status,estimability_reason
context_adjusted_gait_deviation_v1,125,62,0.300935418811573,0.0885514592825091,0.5133193783406369,0.0054837492153952,OK,0.0054837492153952,1.1960641660549172,0.3519466991221679,2.0401816329876663,0.0054837492153952,OK,0.2788099205839509,0.0827776443219296,0.4748421968459722,0.0053101877629447,OK,0.2367083302329241,0.0548898367798747,0.4185268236859735,0.0107209688802232,OK,1.0,0.1933514276980837,-0.0080632253954257,0.3947660807915931,0.0599038240442802,OK,0.0989720213920887,0.0053101877629447,0.2484255164992024,1.9127567156409673e-83,,,NOT_ESTIMABLE,NO_REPEATED_V4_SESSION
stride_scaling_response_v1,96,96,0.1694211218629342,-0.0534154689512245,0.3922577126770931,0.1361855651137344,OK,0.1361855651137344,0.0375600853682144,-0.0118420274386704,0.0869621981750994,0.1361855651137341,OK,,,,,NOT_ESTIMABLE,,,,,NOT_ESTIMABLE,,0.3456559830449164,0.0625549553977241,0.6287570106921088,0.0167092271290402,OK,0.0091484983651164,,0.0804869505445744,0.312289447612358,,,NOT_ESTIMABLE,NO_REPEATED_V4_SESSION
cadence_scaling_response_v1,96,96,0.1618370689135063,-0.0483981549113627,0.3720722927383753,0.1313597247764744,OK,0.1361855651137344,4.859722157834858,-1.4533233170873556,11.172767632757072,0.1313597247764738,OK,,,,,NOT_ESTIMABLE,,,,,NOT_ESTIMABLE,,0.0033064209737657,-0.2961815571623272,0.3027943991098586,0.9827363343768092,OK,0.1484938094953176,,0.1721157800918767,0.4292095118227519,,,NOT_ESTIMABLE,NO_REPEATED_V4_SESSION
step_time_cv_longbout_v1,1,1,,,,,NOT_ESTIMABLE,,,,,,NOT_ESTIMABLE,,,,,NOT_ESTIMABLE,,,,,NOT_ESTIMABLE,,,,,,NOT_ESTIMABLE,,,,,NOT_ESTIMABLE,NOT_ESTIMABLE,NOT_ESTIMABLE,NO_REPEATED_V4_SESSION
stride_time_cv_longbout_v1,1,1,,,,,NOT_ESTIMABLE,,,,,,NOT_ESTIMABLE,,,,,NOT_ESTIMABLE,,,,,NOT_ESTIMABLE,,,,,,NOT_ESTIMABLE,,,,,NOT_ESTIMABLE,NOT_ESTIMABLE,NOT_ESTIMABLE,NO_REPEATED_V4_SESSION
arm_swing_rom_v1,1,1,,,,,NOT_ESTIMABLE,,,,,,NOT_ESTIMABLE,,,,,NOT_ESTIMABLE,,,,,NOT_ESTIMABLE,,,,,,NOT_ESTIMABLE,,,,,NOT_ESTIMABLE,NOT_ESTIMABLE,NOT_ESTIMABLE,NO_REPEATED_V4_SESSION
arm_swing_asymmetry_v1,1,1,,,,,NOT_ESTIMABLE,,,,,,NOT_ESTIMABLE,,,,,NOT_ESTIMABLE,,,,,NOT_ESTIMABLE,,,,,,NOT_ESTIMABLE,,,,,NOT_ESTIMABLE,NOT_ESTIMABLE,NOT_ESTIMABLE,NO_REPEATED_V4_SESSION
arm_swing_coordination_v1,1,1,,,,,NOT_ESTIMABLE,,,,,,NOT_ESTIMABLE,,,,,NOT_ESTIMABLE,,,,,NOT_ESTIMABLE,,,,,,NOT_ESTIMABLE,,,,,NOT_ESTIMABLE,NOT_ESTIMABLE,NOT_ESTIMABLE,NO_REPEATED_V4_SESSION
axial_rotation_smoothness_v1,1,1,,,,,NOT_ESTIMABLE,,,,,,NOT_ESTIMABLE,,,,,NOT_ESTIMABLE,,,,,NOT_ESTIMABLE,,,,,,NOT_ESTIMABLE,,,,,NOT_ESTIMABLE,NOT_ESTIMABLE,NOT_ESTIMABLE,NO_REPEATED_V4_SESSION
harmonic_ratio_ap_v1,1,1,,,,,NOT_ESTIMABLE,,,,,,NOT_ESTIMABLE,,,,,NOT_ESTIMABLE,,,,,NOT_ESTIMABLE,,,,,,NOT_ESTIMABLE,,,,,NOT_ESTIMABLE,NOT_ESTIMABLE,NOT_ESTIMABLE,NO_REPEATED_V4_SESSION
stride_regularity_ap_v1,1,1,,,,,NOT_ESTIMABLE,,,,,,NOT_ESTIMABLE,,,,,NOT_ESTIMABLE,,,,,NOT_ESTIMABLE,,,,,,NOT_ESTIMABLE,,,,,NOT_ESTIMABLE,NOT_ESTIMABLE,NOT_ESTIMABLE,NO_REPEATED_V4_SESSION
