repetition,level,baseline_mae,baseline_rmse,baseline_spearman_rho,baseline_pearson_r,baseline_calibration_slope,baseline_calibration_intercept,extended_mae,extended_rmse,extended_spearman_rho,extended_pearson_r,extended_calibration_slope,extended_calibration_intercept,delta_mae,delta_rmse,delta_spearman_rho,delta_pearson_r,delta_calibration_slope,delta_calibration_intercept
1,participant,0.4869563293866909,0.6250265637311082,0.3538757078457011,0.3257610997736678,0.7155573973052304,0.3053508122807238,0.4986267244010643,0.6388980972228342,0.3703781338844845,0.3391953082344106,0.5694988580268429,0.4543698645722191,0.0116703950143734,0.0138715334917259,0.0165024260387833,0.0134342084607427,-0.1460585392783875,0.1490190522914952
2,participant,0.4957989528026363,0.621002018054905,0.3512700616290511,0.3385463711235923,0.747294032192327,0.2623112860798053,0.5022266750189041,0.6301314271381583,0.3735049093444645,0.3430121651224528,0.625980200911273,0.3896453031120813,0.0064277222162676,0.0091294090832533,0.0222348477154134,0.0044657939988604,-0.121313831281054,0.127334017032276
3,participant,0.4739513558319072,0.6113315047437579,0.3894862061399179,0.3708346326512704,0.8013676297841269,0.2060859426841122,0.4719784201475204,0.5967135326345908,0.4628206713263011,0.4255417890657124,0.8065825403546824,0.1949975576621174,-0.0019729356843868,-0.014617972109167,0.0733344651863831,0.0547071564144419,0.0052149105705554,-0.0110883850219947
4,participant,0.4992529950921761,0.6456148016943762,0.3055264947145287,0.2761573897015133,0.5580870616689068,0.4811223201778579,0.5008175313419719,0.6430655149317717,0.3257636803305104,0.3087548664924056,0.5590239207729263,0.4769957404629118,0.0015645362497958,-0.0025492867626045,0.0202371856159817,0.0325974767908922,0.0009368591040195,-0.0041265797149461
5,participant,0.516693735405569,0.654190439735435,0.2830889856267091,0.258550912010028,0.504577179104857,0.5333576076491835,0.5084211561799906,0.6333329116029396,0.3510963518812744,0.3468218160546619,0.5967105179667385,0.4282517288119714,-0.0082725792255783,-0.0208575281324954,0.0680073662545653,0.0882709040446339,0.0921333388618814,-0.105105878837212
6,participant,0.5171130047954717,0.6660189497004952,0.2140104092608543,0.1990018310176496,0.4234600904394417,0.6188331568643114,0.5085084496651017,0.6519863211877188,0.2865342289576131,0.2832733022716116,0.5171715879921505,0.5099060544144203,-0.00860455513037,-0.0140326285127764,0.0725238196967587,0.084271471253962,0.0937114975527086,-0.1089271024498911
7,participant,0.492534397277807,0.636296031193125,0.3464351403159339,0.2957428597501893,0.6283392461708597,0.391016394480839,0.4893838997344636,0.6159963901328271,0.3993587101385586,0.3689762079010163,0.7243143481164205,0.2831908542556943,-0.0031504975433434,-0.0202996410602978,0.0529235698226246,0.073233348150827,0.0959751019455608,-0.1078255402251446
8,participant,0.5125228180542315,0.6661438371490093,0.2579010721990923,0.208603743872334,0.4280962490007672,0.6133487523186232,0.5140463186908252,0.66237937222155,0.2819888238907903,0.256321395244933,0.4632929560529107,0.5747842872885172,0.0015235006365936,-0.0037644649274592,0.0240877516916979,0.047717651372599,0.0351967070521434,-0.038564465030106
9,participant,0.5015808332002193,0.6406207945512215,0.290442698282588,0.2708131759419448,0.6104168320806357,0.4162367140914279,0.4858564092141724,0.6052771599557939,0.362850711480829,0.3959851077275111,0.7972973323539738,0.2052797510132335,-0.0157244239860468,-0.0353436345954275,0.0724080131982409,0.1251719317855663,0.1868805002733381,-0.2109569630781944
10,participant,0.4736958764502844,0.6171543694800748,0.35341248185163,0.3471532735575491,0.7913806793820635,0.2272710827657234,0.4918921779258259,0.6272063717733888,0.4025433888477975,0.3410195997734214,0.6515959073834703,0.380230496781097,0.0181963014755415,0.0100520022933139,0.0491309069961674,-0.0061336737841276,-0.1397847719985931,0.1529594140153736
