repetition,level,baseline_mae,baseline_rmse,baseline_spearman_rho,baseline_pearson_r,baseline_calibration_slope,baseline_calibration_intercept,extended_mae,extended_rmse,extended_spearman_rho,extended_pearson_r,extended_calibration_slope,extended_calibration_intercept,delta_mae,delta_rmse,delta_spearman_rho,delta_pearson_r,delta_calibration_slope,delta_calibration_intercept
1,row,0.4939861072796767,0.6326855486226245,0.3271444232525714,0.31653110454365707,0.6615062817271319,0.36955810123439087,0.5098076802417644,0.6808535671571636,0.3691942785599876,0.2963249470143955,0.42578526523617616,0.6182853641930239,0.015821572962087693,0.048168018534539114,0.04204985530741617,-0.02020615752926158,-0.23572101649095573,0.24872726295863307
1,participant,0.4869563293866909,0.6250265637311082,0.35387570784570116,0.32576109977366785,0.7155573973052304,0.30535081228072386,0.49862672440106437,0.6388980972228342,0.37037813388448454,0.3391953082344106,0.5694988580268429,0.4543698645722191,0.011670395014373447,0.013871533491725985,0.01650242603878338,0.013434208460742725,-0.14605853927838752,0.14901905229149526
2,row,0.5006889412959181,0.6290452956226733,0.33337742248999935,0.3266615390868739,0.6879979276176031,0.3332597197807682,0.5041750715315723,0.6587985267579379,0.382526558284791,0.31037699839705163,0.4960097934656287,0.5383128653887544,0.003486130235654139,0.029753231135264624,0.04914913579479163,-0.01628454068982227,-0.19198813415197447,0.20505314560798626
2,participant,0.49579895280263636,0.621002018054905,0.3512700616290511,0.3385463711235923,0.747294032192327,0.2623112860798053,0.5022266750189041,0.6301314271381583,0.37350490934446456,0.3430121651224528,0.625980200911273,0.38964530311208134,0.006427722216267695,0.009129409083253326,0.022234847715413453,0.00446579399886049,-0.121313831281054,0.12733401703227604
3,row,0.4813611220644972,0.6191194290359207,0.3524813890792911,0.3597459784356254,0.7393112103937874,0.27902425291631106,0.47624021423060436,0.618915562517942,0.4318799392523344,0.39049854896037395,0.6663453716387403,0.35386720399214566,-0.0051209078338928515,-0.00020386651797865696,0.07939855017304331,0.030752570524748557,-0.07296583875504714,0.07484295107583461
3,participant,0.47395135583190723,0.6113315047437579,0.38948620613991797,0.3708346326512704,0.8013676297841269,0.2060859426841122,0.4719784201475204,0.5967135326345908,0.4628206713263011,0.4255417890657124,0.8065825403546824,0.19499755766211746,-0.001972935684386834,-0.014617972109167043,0.07333446518638315,0.05470715641444196,0.005214910570555453,-0.011088385021994746
4,row,0.5064937791725497,0.6530137103642167,0.2955145932239967,0.27283819113909424,0.5254719066938566,0.5217370063753625,0.5058499106224477,0.6675265241965981,0.3312117193651304,0.28746412654898285,0.4604452945707324,0.5882699069597878,-0.0006438685501020114,0.014512813832381344,0.035697126141133684,0.014625935409888602,-0.06502661212312416,0.06653290058442529
4,participant,0.4992529950921761,0.6456148016943762,0.3055264947145287,0.2761573897015133,0.5580870616689068,0.48112232017785794,0.5008175313419719,0.6430655149317717,0.32576368033051045,0.3087548664924056,0.5590239207729263,0.4769957404629118,0.001564536249795856,-0.0025492867626045745,0.020237185615981756,0.032597476790892255,0.0009368591040195273,-0.004126579714946121
5,row,0.5221179784239037,0.66056930058006,0.26766329889133156,0.25818133061090187,0.4833921398484427,0.5619799385688578,0.5144054471355133,0.6508000502810469,0.3409028006653572,0.3307292197624426,0.5257610235012167,0.5107865582249909,-0.007712531288390445,-0.0097692502990131,0.07323950177402566,0.0725478891515407,0.04236888365277397,-0.05119338034386689
5,participant,0.516693735405569,0.654190439735435,0.28308898562670914,0.258550912010028,0.504577179104857,0.5333576076491835,0.5084211561799906,0.6333329116029396,0.35109635188127447,0.34682181605466195,0.5967105179667385,0.42825172881197143,-0.008272579225578336,-0.020857528132495418,0.06800736625456533,0.08827090404463395,0.09213333886188146,-0.10510587883721206
6,row,0.525083276891248,0.6731144208998759,0.20886181794976605,0.19648242631188628,0.40017235649418337,0.6507496301755017,0.5207200364215058,0.6789817869536406,0.2963315739150042,0.2569177817946555,0.4144685138596607,0.6293238284373098,-0.0043632404697422356,0.0058673660537647,0.08746975596523815,0.06043535548276924,0.014296157365477347,-0.021425801738191863
6,participant,0.5171130047954717,0.6660189497004952,0.21401040926085435,0.1990018310176496,0.42346009043944177,0.6188331568643114,0.5085084496651017,0.6519863211877188,0.2865342289576131,0.2832733022716116,0.5171715879921505,0.5099060544144203,-0.008604555130370062,-0.014032628512776424,0.07252381969675875,0.08427147125396203,0.09371149755270869,-0.10892710244989112
