repetition,delta_mae,delta_rmse,delta_spearman_rho,delta_pearson_r,delta_calibration_slope,delta_calibration_intercept
1,0.01374797978254877,0.07136348486245414,-0.030569868011362467,-0.14967388585580182,-0.4864731670844652,0.5234741280419202
2,0.010148363532889337,0.02621229165577421,0.05470953454953659,-0.0338292243097581,-0.6702875986362593,0.7207759603456148
3,-0.00925578241176428,0.015561302260528542,0.06425975710993465,-0.04343584957431762,-0.36018570390735083,0.42527024820688475
4,-0.005541998942066195,0.022999641373279367,-0.003827836254849837,-0.026415036013612447,-0.19712582395145362,0.21095382277739555
5,-0.02043202260088589,-0.017559906818428894,0.07383815141829836,0.07981246627414412,0.13885098144599528,-0.16226028222539934
6,-0.03119120341359699,-0.0017660832876673638,0.0910616538308745,0.0585195850379939,0.06146727185847378,-0.07817572277197049
7,0.010506287065834952,0.010107306389778414,0.06794673462495554,0.02510274146175362,-0.12205564813791225,0.12770008657750404
8,-0.0005157497817404599,0.02067274803828889,0.07696169397400379,0.037990225607496514,-0.038623414016402735,0.03362276289000721
9,-0.04399331534223205,-0.028067663240146867,0.11482100177151072,0.1400668006271837,0.2175713896531779,-0.2564257125305299
10,0.018071605515940947,0.03582238863846199,0.026389884906940497,-0.08337160767285234,-0.39620248570079075,0.4291962734853235
11,-0.012888927113653359,0.021990990018921908,0.02929157494741541,-0.009286301974391564,-0.14285727042029706,0.16354036848765607
12,-0.0006176698710957385,0.017788999301164288,0.03434136077028066,-0.022326198130091374,-0.23691766797521996,0.24580873235752915
13,-0.04405146860057818,-0.033056542865803173,0.06041431351260618,0.09030217294065315,0.37941351455357464,-0.4113074585590796
14,-0.007835629925520227,-0.0022900079416600105,0.03133050520643843,0.039061798924280966,-0.012942896744316812,0.010127007881127414
15,-0.0014815750670232886,0.01983462915969525,0.013948536711554771,-0.04823279014537141,-0.33835497668897485,0.35685281316107953
16,-0.03124944654781392,-0.0202143241494126,0.053543928477452596,0.07069772604877689,0.3203462897837581,-0.35308282815396086
17,-0.01743283291428499,0.01740475837269151,-0.0008521953759647038,0.014225200852978431,-0.17163582381136405,0.19323153669769877
18,0.007264391649170698,0.03874598686756736,-0.01984347497339331,-0.02970416223470934,-0.11836069545304373,0.12669615103537313
19,0.0015243548206321789,0.016840848725357627,0.08336724516772206,0.017876305554598376,-0.19453765972062387,0.21234122181649662
20,-0.03406650164841768,-0.02025318114903152,0.07710607418232836,0.0438527836520034,0.1575392554823854,-0.17186476370345105
21,-0.018030331482660533,-0.008421538150951258,0.0488110748192023,0.02465788778804856,0.151030405277932,-0.16624065945821187
22,-3.379021381894054e-05,0.010895245184974534,0.06772840357822074,-0.0054473692142421315,-0.3349946436844502,0.3505340451452614
23,-0.00623643242370675,0.019374912441631698,0.025382744917164024,-0.03023621124250994,-0.218701573936956,0.22695640038220916
24,-0.016334850690712444,0.015129059211297036,0.06949970223156887,-0.032174667028969706,-0.21662425530817364,0.233788144091427
25,-0.019047219140604088,0.004163104868629142,0.04234565866105677,0.014298157293906766,-0.13250186569915012,0.14743498977197395
26,-0.003266735688761624,0.040112269797566324,-0.011233484501353197,-0.09388555657495554,-0.37152427882425465,0.39515397975908273
27,-0.008479121559776481,0.004086578671451013,0.0737994152648454,0.015422923687444717,-0.06677107592429155,0.06929019873977438
28,-0.000902148902753086,0.03090185322722372,-0.007666236915186725,-0.053712058764118276,-0.26152324009881694,0.29296933801243996
29,-0.021527009177830403,0.0031215329726534957,0.0033630024134145287,-0.01996190400237799,-0.025554916794313542,0.02197095587836262
30,-0.007253062276387057,0.021713417498087195,0.04785323538836589,-0.07315517921015863,-0.22973224002895587,0.2658863956344299
31,-0.03465293591510943,0.0057681721908959815,0.05326221099779485,0.0023486876766971587,-0.022480857495860374,0.026576347340139583
32,0.02807203976171818,0.0245996903948823,0.03662327235550855,0.04176670341855937,-0.07017054483878082,0.08097239918988619
33,-0.015101757935317373,0.006517637963534995,0.06856651308020256,-0.002531062843142695,-0.16295382706710804,0.1617486620465932
34,-0.021582945897905104,-0.009878926867365245,0.06611204953868433,0.04728109269308595,0.1039315259062813,-0.11495958962048475
35,0.011254792739272323,0.0456154820092064,-0.010624270451593143,-0.10570965063166127,-0.3487895988589847,0.37653191661511215
36,-0.023013461013450143,0.0033197934816628916,0.04633196099821399,0.01178655157755687,2.952233674680116e-05,-0.013310754360930765
37,-0.01076905793258598,0.008162425185519795,0.07544394105234759,0.04261372297180699,0.006271209026402769,-0.003719298194782894
38,-0.008083665933711237,0.015425360788718034,0.015283173271433359,-0.027011263629606486,-0.10012934805819607,0.10230017951206294
39,0.0009082830209606874,0.009857609591623961,0.06778122560565658,0.032985651782799746,-0.14558060957650465,0.14844668180335308
40,-0.004725934106873664,0.03989306200125409,-0.009610087524825256,-0.12962844672461582,-0.36617680162866195,0.39215402467042915
41,0.011635075208921264,0.04782982613474207,-0.0013804156503230136,-0.0566087338857679,-0.2830400621237456,0.2996621422491992
42,-0.00040115786001071463,0.01895491266928595,0.03083397814854158,0.002337061155563522,-0.029935988686261017,0.02727817327251736
43,-0.004350966955278146,0.022672087741594904,0.003366523881910194,-0.042174405483448946,-0.13270005273227586,0.15071511585095587
44,-0.002250075600438717,0.03626696272240759,0.0011163055131438449,-0.06733151098216444,-0.2630898830660787,0.29609393318402644
45,-0.02861990025259792,-0.029065063386721324,0.06187924440682657,0.09397374641710471,0.3007055870932017,-0.3123301762964651
46,-0.018007938994782757,0.0045916230051369356,0.03616195998256905,-0.013594172853279851,-0.21603600052786232,0.2210191109017693
47,-0.019800233614193696,-0.010805575279711266,0.06449569549914802,0.054409606580813896,0.17408088576199177,-0.19957839677101125
48,-0.011094613667312014,0.0064527458366276935,0.01842432316961734,0.002450252971086142,-0.2607507742412283,0.2580945918678463
49,-0.00033170721696568206,0.01666196288781352,0.00969108130022689,0.040069659209498565,-0.16890270498568832,0.1748708180624608
50,-0.021283403263111123,-0.005463933871479254,0.0022255680892963037,0.019082740549106192,0.07078615362333385,-0.07618978538608352
51,-0.011961218014580277,-0.012782062857242593,0.06104465637334047,0.08661554469154592,0.08386858055802526,-0.10462001415279237
52,0.021095726358687394,0.04591079476416593,-0.006824605944709128,-0.05209821291047961,-0.30832182089624693,0.3407357680656006
53,-0.016284067364620347,0.012279995524786647,0.0845786303302504,0.0004345936288205343,-0.18875440947445787,0.21127651689233712
54,-0.0005580589087581522,0.04852643951393443,-0.08075079407540064,-0.13013149546041544,-0.37828787985650436,0.42219245120836035
55,0.0021980372601432263,0.013269440269390809,0.07305286394375243,0.03970794793574606,-0.01519283469783722,0.019242761564499666
56,-0.006728269781803575,0.019282036390835255,0.04739896595241777,-0.031919432674772846,-0.2669961228086275,0.27792922050620666
